,「30日でできる！OS自作入門」　ランキング調査＠Amazon.co.jp,,,,,,,,,,,,,,,

時間・日付,2006/3/2,2006/3/3,2006/3/4,2006/3/5,2006/3/6,2006/3/7,2006/3/8,2006/3/9,2006/3/10,2006/3/11,2006/3/12,2006/3/13,2006/3/14,2006/3/15,2006/3/16,2006/3/17
0時,-,4,8,18,19,42,81,168,115,121,114,442,243,"1,618","6,584",
1時,-,3,8,18,21,40,73,140,104,110,114,367,198,"1,873","6,584",
2時,-,3,8,18,21,33,72,142,104,103,124,283,154,"2,065","7,449",
3時,-,3,7,19,20,37,70,114,110,97,100,271,117,"2,138","7,383",
4時,-,3,7,19,19,37,70,114,105,91,110,193,126,"2,107","7,095",
5時,-,3,7,19,19,37,71,114,108,95,116,193,134,"2,011","6,624",
6時,-,3,7,19,19,37,71,117,108,99,120,174,136,"1,925","6,088",
7時,-,3,7,18,19,38,72,100,107,101,123,149,143,"1,829","5,558",
8時,-,3,7,18,19,38,73,106,115,103,126,157,153,"1,793","5,271",
9時,-,3,7,19,20,41,79,111,111,93,135,143,155,"1,770","5,082",
10時,-,3,7,21,20,41,89,115,117,91,151,155,171,"1,819","5,194",
11時,-,3,7,16,23,47,82,130,136,92,187,181,217,"2,185","5,615",
12時,-,4,8,16,25,52,87,110,161,86,161,184,253,"2,428","6,261",
13時,-,4,9,19,21,56,90,115,187,92,189,220,293,"2,428","6,859"
14時,-,4,8,23,25,54,95,142,182,111,188,211,347,"2,663","7,537"
15時,-,4,9,20,25,61,90,163,170,110,168,259,413,"2,904","7,987"
16時,-,4,10,20,28,61,99,176,203,126,196,241,413,"3,215","8,898"
17時,6,5,13,21,27,59,99,170,197,145,207,240,540,"3,513","9,447"
18時,6,5,14,24,31,59,101,198,181,169,258,270,615,"3,804","10,297"
19時,4,5,13,26,33,64,99,162,207,199,268,303,697,"4,018","10,865"
20時,4,5,16,22,38,63,100,158,205,194,258,303,786,"4,271","11,388"
21時,4,5,16,22,45,62,105,178,157,110,220,328,916,"4,506","11,843"
22時,4,5,16,19,40,70,116,180,121,114,271,327,"1,070","4,991","13,318"
23時,4,5,17,24,43,70,143,104,109,124,347,328,"1,301","5,711","15,091"
